Sample no.,wp_seedweight,wp_winglength,wp_droptime,rm_seedweight,rm_winglength,rm_droptime,gs_shelldiameter,gs_bandnumber,gs_bandwidth,apf_shelllength,apf_shellwidth,apf_lipthick,sj_toothheight,sj_toothlength,sj_rowlength,sj_mandheight,s1_largelength,s2_largelength,s1_smalllength,s2_smalllength,s1_largepal,s2_largepal,s1_smallpal,s2_smallpal,s1_largepadp,s2_largepadp,s1_smallpadp,s2_smallpadp
14,0.0026,14.43,3.63,0.0939,26.72,0.53,22.52,5,1.83,59.36,35.41,7.8,5.43,6.75,49.2,17.09,65.16,58.34,44.29,35.65,6.04,5.61,2.95,2.37,20.28,15.36,14.8,9.65
15,0.0027,13.97,5.61,0.0829,23.33,0.93,21.26,10,1.82,54.25,36.79,7.32,4.41,5.97,39.26,16.66,68.28,58.54,41.93,41.06,5.32,5.41,3.59,4.07,20.58,16.62,12.89,10.34
16,0.0029,15.05,2.83,0.1167,30.13,1.28,24.02,1,1.38,52.64,36.32,5.36,6.49,7.04,52.62,19.06,66.48,57.4,38.49,15.93,5.47,5.4,2.5,2.69,20.46,19.11,9.74,8.67
17,0.0022,15.08,5.52,0.1019,28.62,1.23,20.81,5,2.81,56.67,29.47,3.64,7.11,7.52,59.41,21.47,70.22,51.89,39.45,35.28,5.72,4.46,3.9,3.84,18.21,13.08,13.15,13.74
18,0.0025,16.08,3.34,0.0871,32.62,1.91,21.11,5,2.48,55.68,35.17,4.46,6.27,6.35,53.37,20.01,68.82,53.03,37.78,38.63,5.94,5.23,3.45,3.21,18.24,16.86,9.34,9.5
19,0.0028,15.85,4.78,0.0827,30.63,1.21,20.25,5,2.27,59.51,38.42,5.47,7.14,7.03,52.32,20.41,78.02,57.28,33.44,25.9,6.23,4.54,2.65,2.03,19.65,16.71,9.66,8.06
20,0.0027,14.6,4.53,0.1019,27.46,1.58,22.28,1,1.53,51.35,32.98,7.45,7.46,6.88,57.79,22.19,66.8,53.69,32.82,35.97,6.32,4.78,2.94,3.86,20.43,16.17,9.59,10.41
,0.0011,11.88,2.97,0.0776,33.26,0.53,0.588,4,0.289,44.75,17.5,0.83,4.56,6.64,34.39,18.13,57.87,55.7,19.67,36.05,1.67,1.72,0.431,0.98,10.79,16.13,4.93,14.39
,0.0036,16.94,2.81,0.1026,30.61,0.81,0.834,3,0.398,49.01,22.47,6.39,5.25,4.89,38.36,17.34,52.3,57.93,26.23,32.54,1.75,1.61,1.43,0.78,9.75,17.53,6.43,8.46
,0.0031,13.62,2.94,0.1057,34.08,0.74,0.835,1,0.46,53.02,22.35,5.58,6.32,6.24,36.61,16.88,44.04,64.97,30.04,32.15,2.34,1.93,1.61,0.81,11.87,18.31,8.97,17.78
